"Provider.State","DRG.Definition","Discharges","Total.Payments","Medicare.Payments","Covered.Charges","Total.Payments.quantile","Medicare.Payments.quantile","Covered.Charges.quantile"
"NY","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1336,7977.94578592814,6438.32681886228,21831.8716167665,6,6,5
"NC","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1141,7052.05343558282,5653.77085889571,22006.8593426819,5,5,5
"ND","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",178,6375.62387640449,5415.71662921348,13430.5051685393,5,5,2
"OH","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1186,6615.50892074199,5132.02322091062,28956.7370151771,5,4,6
"OK","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",463,6240.18740820734,4897.65466522678,23024.6914902808,4,4,5
"OR","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",354,7089.50901129943,5606.53350282486,22563.851440678,5,5,5
"PA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1003,6750.94740777667,5465.6355333998,32782.5072881356,5,5,7
"RI","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",76,8430.42907894737,7154.15355263158,24314.0392105263,7,6,5
"SC","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",721,6686.81650485437,5171.83848821082,33960.0308737864,5,4,7
"SD","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",156,6706.35371794872,5229.39153846154,21771.3550641026,5,4,5
"TN","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",986,6271.44104462475,4860.28184584179,24046.6818458418,4,4,5
"TX","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",2871,6490.01305816789,5137.03975618251,29042.2969174504,5,4,6
"UT","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",109,6928.3276146789,4720.57220183486,20488.0195412844,5,4,4
"VT","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",57,9290.8,7936.03,17934.35,7,7,4
"VA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",827,6764.23841596131,5301.18908101572,26379.2354534462,5,5,6
"WA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",531,7665.86369114878,5809.79105461394,31356.7657627119,6,5,7
"WV","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",356,5961.5731741573,4764.8158988764,16943.5548595506,4,4,3
"WI","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",609,6905.31436781609,5510.2163546798,24486.2658784893,5,5,5
"WY","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",44,8696.90545454545,6682.52,26643.97,7,6,6
"AL","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",575,5340.83302608696,4412.00066086956,24311.0850434783,3,3,5
"AK","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",11,8799,8081.54,31858.54,7,7,7
"AZ","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",386,6415.60227979275,5425.9425388601,28740.9128238342,5,5,6
"AR","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",247,6058.54773279352,4883.63931174089,16840.7408097166,4,4,3
"CA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1469,8555.31974132063,7530.85806671205,45639.3462968005,7,7,8
"CO","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",254,6068.82275590551,5085.86992125984,25472.5829527559,4,4,6
"CT","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",397,7989.58521410579,6870.28012594458,24671.2094710327,6,6,5
"DE","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",114,7337.10789473684,6176.30921052632,18125.1889473684,6,6,4
"DC","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",109,8791.70532110092,7351.08155963303,28468.053853211,7,6,6
"FL","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",2834,5773.72932604093,4804.16972124206,26940.7237226535,4,4,6
"GA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",672,6333.05546130952,5092.75318452381,19316.446889881,5,4,4
"HI","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",19,9585.36,8264.15,27601,7,7,6
"ID","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",12,5410.33,4658.33,15237.58,3,4,3
"IL","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1972,6365.61957403651,5389.64551217038,22184.6095689655,5,5,5
"IN","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",833,6061.84466986795,4949.86448979592,17801.3484513806,4,4,4
"IA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",188,6084.53414893617,5096.85111702128,17370.8833510638,4,4,3
"KS","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",226,5898.94792035398,4586.06252212389,26804.2762389381,4,4,6
"KY","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",519,6077.2772061657,5175.76780346821,17253.9913872832,4,4,3
"LA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",237,5993.0253164557,4940.91156118143,20562.6207172996,4,4,4
"ME","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",141,6939.3070212766,5746.58262411348,18683.1033333333,5,5,4
"MD","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1280,10592.6988984375,9513.7547578125,11246.359671875,8,8,2
"MA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1065,7647.416657277,6640.75118309859,16357.7931737089,6,6,3
"MI","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1242,6697.63611916264,5591.53296296296,15305.3422302738,5,5,3
"MN","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",491,6830.40313645621,5817.46623217923,21160.9666802444,5,5,5
"MS","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",332,5937.95078313253,4662.25168674699,19666.9859337349,4,4,4
"MO","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",675,5858.46322962963,4798.85442962963,18442.0559555556,4,4,4
"MT","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",63,6297.61507936508,5239.90285714286,19374.5807936508,4,4,4
"NE","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",102,5899.83764705882,4687.21980392157,17331.2112745098,4,4,3
"NV","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",160,6677.733,5411.978375,47524.387875,5,5,8
"NH","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",143,6133.58482517482,5189.15692307692,17930.7102097902,4,4,4
"NJ","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1636,6988.49576405868,6059.55622860636,45210.7812224939,5,5,8
"NM","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",72,7512.45569444444,6622.96819444444,21191.3420833333,6,6,5
"NY","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",3105,9062.34471497584,8028.23342351047,28513.5939066023,7,7,6
"NC","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1067,6931.46167760075,5986.55659793814,18879.7542268041,5,5,4
"ND","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",19,5746.47,4917.42,15473.68,4,4,3
"OH","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1301,5977.36223674097,5019.67568793236,18084.7617755573,4,4,4
"OK","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",224,5813.23191964286,4894.80294642857,21587.5986607143,4,4,5
"OR","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",56,8112.96035714286,6988.39142857143,21791.0119642857,6,6,5
"PA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1655,6655.36326283988,5686.52570996979,29683.6899939577,5,5,6
"RI","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",62,7329.88129032258,6384.10758064516,25141.9179032258,6,6,6
"SC","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",548,6344.87372262774,5182.13052919708,24236.5009124088,5,4,5
"SD","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",40,6348.222,5504.021,18765.272,5,5,4
"TN","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",496,5762.06320564516,4721.71766129032,21527.761391129,4,4,5
"TX","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",1423,6351.03558678848,5255.6135699227,29256.8539002108,5,4,6
"UT","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",28,8343.60142857143,5678.99714285714,22005.2782142857,6,5,5
"VT","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",28,9987.6,9146.6,18529.39,7,8,4
"VA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",770,6158.53653246753,5077.55898701299,19235.8674935065,4,4,4
"WA","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",162,6646.41641975309,5774.47641975309,22460.0008641975,5,5,5
"WV","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",200,5685.57035,4814.31095,13894.2973,4,4,2
"WI","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",537,6651.69163873371,5759.82635009311,17786.3522160149,5,5,4
"WY","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC",15,8139.86,7467.06,16099.86,6,7,3
"AL","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1271,11294.9582612116,9949.1981667978,45562.3358929976,8,8,8
"AK","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",45,19647.904,18583.0586666667,49669.4875555556,10,10,9
"AZ","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",892,13032.0787107623,11857.6212556054,46918.5014461883,9,9,8
"AR","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",659,10899.661198786,9942.60566009105,31613.5173141123,8,8,7
"CA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",5260,17327.132621673,16093.2849429658,95325.9890285171,10,10,10
"CO","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",471,12762.884118896,11218.3585774947,57286.3662208068,9,9,9
"CT","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",856,16241.3497196262,14810.6246378505,46661.3205140187,9,9,8
"DE","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",289,14354.8202076125,12606.8096193772,32748.1730795848,9,9,7
"DC","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",277,17980.0674729242,16486.3250902527,63279.5915523466,10,10,9
"FL","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",4194,12156.7969241774,11050.788204578,58735.7611850262,8,8,9
"GA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1779,12604.3051489601,11343.68975267,42912.4568353007,9,9,8
"HI","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",230,16912.0820869565,15576.0438695652,46881.4245652174,9,9,8
"ID","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",179,11855.7011731844,9784.82424581006,25042.5981005587,8,8,5
"IL","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2881,13178.8835647345,11939.541836168,48703.9088788615,9,9,8
"IN","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1535,11956.2673094463,10781.1020977199,34657.6299543974,8,8,7
"IA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",475,11989.8706736842,10868.1998736842,32823.5534736842,8,8,7
"KS","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",521,11402.9853358925,10125.0049904031,45430.65243762,8,8,8
"KY","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1205,12752.8645062241,11764.7761825726,38267.8426141079,9,9,8
"LA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",915,12236.1458251366,10742.2569617486,47051.9815956284,8,8,8
"ME","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",255,13029.4776078431,11739.1165490196,28329.7274509804,9,9,6
"MD","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1657,17395.3914665057,16331.5847917924,18485.2029450815,10,10,4
"MA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1433,15511.2424005583,14317.4146336357,33644.1264689463,9,9,7
"MI","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2604,13418.9514631336,12391.877937788,32644.7473233487,9,9,7
"MN","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",822,13761.4441849148,12286.0987347932,36905.6004744526,9,9,7
"MS","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",857,11774.003663944,10715.1855192532,39279.7472112019,8,8,8
"MO","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1656,11994.3243115942,10777.2644384058,40879.6340277778,8,8,8
"MT","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",117,12181.1313675214,10430.6528205128,24630.5700854701,8,8,5
"NE","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",286,12941.2586013986,11933.3812937063,39602.7258391608,9,9,8
"NV","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",419,13363.3647732697,11955.1710023866,82941.6519570406,9,9,10
"NH","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",202,12542.095,11708.0355940594,28128.0217326733,9,9,6
"NJ","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2146,14489.7238397018,13376.3738863001,92372.5045666356,9,9,10
"NM","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",210,15421.437,14581.9193333333,43285.863,9,9,8
"NY","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",3553,18454.5612946806,17031.3753588517,55433.6455924571,10,10,9
"NC","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2609,13384.999459563,12361.8210578766,33639.6521502491,9,9,7
"ND","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",162,11857.2784567901,10910.6697530864,25663.8340123457,8,8,6
"OH","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2357,12684.2423377174,11508.4012855325,42641.9655833687,9,9,8
"OK","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",772,11804.2225518135,10726.5198056995,43780.4249222798,8,8,8
"OR","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",434,13997.9014976959,12883.9531797235,37245.892281106,9,9,7
"PA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2713,13211.5167674161,12076.0319388131,59761.7944157759,9,9,9
"RI","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",181,16609.0657458564,15304.4338121547,45347.5658563536,9,9,8
"SC","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1212,13435.4378877888,12187.6380858086,48429.5101815182,9,9,8
"SD","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",153,13416.6867320261,12563.9583006536,39455.4349019608,9,9,8
"TN","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1919,11487.3426993226,10324.4815528921,39630.4985096404,8,8,8
"TX","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",4547,12878.7683549593,11554.2208994942,58647.4232658896,9,9,9
"UT","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",228,13488.5858333333,11347.0256578947,30722.245877193,9,9,7
"VT","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",104,16956.4310576923,15882.5131730769,24603.0300961538,9,10,5
"VA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",2094,12362.6640544413,10991.4614326648,35479.8903868195,8,8,7
"WA","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",1155,13527.519965368,12273.5922424242,41718.9972467532,9,9,8
"WV","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",455,12913.6958681319,11756.556,31270.7364835165,9,9,7
"WI","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",825,13322.2073818182,11999.6193454545,35547.5285090909,9,9,7
"WY","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC",22,16400,15586.95,40289.27,9,9,8
"AL","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",2404,6691.20681780366,5484.38837354409,27349.8426331115,5,5,6
"AK","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",152,12093.4015131579,10815.5411842105,38354.8306578947,8,8,8
"AZ","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1581,7903.4253826692,6688.92609108159,32022.2284946237,6,6,7
"AR","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1463,6645.59017088175,5606.15306903623,18642.7819480519,5,5,4
"CA","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",7840,9836.84503061224,8676.48154719388,55669.3060994898,7,7,9
"CO","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",929,7104.54039827772,6047.07805166846,33030.3227771798,5,5,7
"CT","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1334,9446.29102698651,8231.59215892054,29179.2288305847,7,7,6
"DE","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",456,8303.93434210526,7197.82043859649,21224.3123903509,6,6,5
"DC","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",385,10567.0093506494,9403.85896103896,36912.6675324675,8,8,7
"FL","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",7326,7180.96933933934,6049.24850532351,36876.8441223041,6,5,7
"GA","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",3302,7264.87031193216,6142.53323743186,25991.4134342823,6,6,6
"HI","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",306,11173.2814379085,8728.25699346405,29470.8013398693,8,7,6
"ID","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",360,7163.84558333333,5895.33411111111,17446.5345277778,5,5,4
"IL","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",5157,8101.02343804537,6710.75528407989,32013.6578378902,6,6,7
"IN","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",2939,7224.03464443688,6074.65345695815,23600.597339231,6,5,5
"IA","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1075,7016.53910697674,5953.52217674419,20140.5373860465,5,5,4
"KS","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",915,7024.38017486339,5800.26686338798,29537.116579235,5,5,6
"KY","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1937,7502.27914816727,6351.34440371709,25336.8977594218,6,6,6
"LA","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1715,7157.86464723032,5873.2164664723,26393.1228279883,5,5,6
"ME","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",568,7621.37589788732,6443.40478873239,17190.7959859155,6,6,3
"MD","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",2798,10102.0472802001,9032.66080057184,10719.9047927091,7,7,1
"MA","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",2487,9714.46623240852,8043.36786891838,21397.5564053076,7,7,5
"MI","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",4168,8125.75705854127,7091.9575671785,20410.1548200576,6,6,4
"MN","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1467,8196.88007498296,6837.47852760736,24315.878329925,6,6,5
"MS","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1538,6888.79814044213,5896.85145643693,25589.8604161248,5,5,6
"MO","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",2728,7175.14090542522,5995.70235337243,25603.7343695015,5,5,6
"MT","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",321,7156.17358255452,5973.46370716511,16516.9873520249,5,5,3
"NE","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",616,7380.66792207792,6207.57426948052,25437.3034415584,6,6,6
"NV","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",640,8017.711515625,6765.5153125,46748.99640625,6,6,8
"NH","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",464,8033.12640086207,6933.14135775862,22351.5901293103,6,6,5
"NJ","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",3639,8701.61561417972,7563.14943116241,58889.576075845,7,7,9
"NM","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",404,8165.57841584158,7137.16034653465,27688.4710148515,6,6,6
"NY","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",5317,10434.2411773557,9214.94798758699,33213.5441320293,8,8,7
"NC","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",4370,7833.19569107552,6783.57796567506,21043.9441144165,6,6,5
"ND","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",283,7495.2764664311,6196.44441696113,15447.3340989399,6,6,3
"OH","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",3886,7404.09806484817,6253.45880339681,25438.2032038085,6,6,6
"OK","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",1522,7096.76638633377,6013.34443495401,24876.4571353482,5,5,5
"OR","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC",796,8156.42674623116,6964.11454773869,21191.9559547739,6,6,5
